"language","threads","workload","run_id","config_type","wall_time_s","cpu_pct","peak_rss_kb","phase","repeat"
"java",4,"producer_consumer","java_phase2_prod-cons_p_best_p4_r8","p_best",0.060000,188,46540,2,8
"java",4,"producer_consumer","java_phase2_prod-cons_p_best_p4_r9","p_best",0.060000,206,46720,2,9
"java",4,"producer_consumer","java_phase2_prod-cons_p_best_p4_r10","p_best",0.060000,205,46604,2,10
"python",1,"matrix_multiplication","python_phase2_matmul_p_base_p1_r1","p_base",90.730000,99,26792,2,1
"python",1,"matrix_multiplication","python_phase2_matmul_p_base_p1_r2","p_base",92.230000,99,26924,2,2
"python",1,"matrix_multiplication","python_phase2_matmul_p_base_p1_r3","p_base",92.030000,99,26924,2,3
"python",1,"matrix_multiplication","python_phase2_matmul_p_base_p1_r4","p_base",92.740000,99,26924,2,4
"python",1,"matrix_multiplication","python_phase2_matmul_p_base_p1_r5","p_base",89.840000,99,26956,2,5
"python",1,"matrix_multiplication","python_phase2_matmul_p_base_p1_r6","p_base",90.510000,99,26776,2,6
"python",1,"matrix_multiplication","python_phase2_matmul_p_base_p1_r7","p_base",91.060000,99,26924,2,7
"python",1,"matrix_multiplication","python_phase2_matmul_p_base_p1_r8","p_base",90.020000,99,26956,2,8
"python",1,"matrix_multiplication","python_phase2_matmul_p_base_p1_r9","p_base",93.150000,99,26848,2,9
"python",1,"matrix_multiplication","python_phase2_matmul_p_base_p1_r10","p_base",90.770000,99,26788,2,10
"python",8,"matrix_multiplication","python_phase2_matmul_p_best_p8_r1","p_best",13.990000,767,26628,2,1
"python",8,"matrix_multiplication","python_phase2_matmul_p_best_p8_r2","p_best",13.970000,777,26776,2,2
"python",8,"matrix_multiplication","python_phase2_matmul_p_best_p8_r3","p_best",14.100000,771,26788,2,3
"python",8,"matrix_multiplication","python_phase2_matmul_p_best_p8_r4","p_best",13.830000,770,26776,2,4
"python",8,"matrix_multiplication","python_phase2_matmul_p_best_p8_r5","p_best",13.850000,774,26556,2,5
"python",8,"matrix_multiplication","python_phase2_matmul_p_best_p8_r6","p_best",13.940000,772,26792,2,6
"python",8,"matrix_multiplication","python_phase2_matmul_p_best_p8_r7","p_best",16.530000,676,26776,2,7
"python",8,"matrix_multiplication","python_phase2_matmul_p_best_p8_r8","p_best",13.960000,775,26784,2,8
"python",8,"matrix_multiplication","python_phase2_matmul_p_best_p8_r9","p_best",14.070000,772,26652,2,9
"python",8,"matrix_multiplication","python_phase2_matmul_p_best_p8_r10","p_best",17.100000,755,26776,2,10
"python",1,"parallel_sort","python_phase2_sort_p_base_p1_r1","p_base",0.860000,99,86612,2,1
"python",1,"parallel_sort","python_phase2_sort_p_base_p1_r2","p_base",0.840000,99,86588,2,2
"python",1,"parallel_sort","python_phase2_sort_p_base_p1_r3","p_base",0.840000,100,86604,2,3
"python",1,"parallel_sort","python_phase2_sort_p_base_p1_r4","p_base",0.830000,99,86604,2,4
